gene_name,gene_id,n_exons,total_count
LRIG1,ENSG00000144749,57,576787
SLC3A2,ENSG00000168003,120,576429
SPRYD3,ENSG00000167778,40,573497
SHLD2,ENSG00000122376,118,573322
FGFR3,ENSG00000068078,58,572603
MORF4L1,ENSG00000185787,84,572111
TBL1XR1,ENSG00000177565,163,572105
DCAF8,ENSG00000132716,128,572014
PRRT2,ENSG00000167371,51,571696
LRRFIP2,ENSG00000093167,257,571393
PAQR8,ENSG00000170915,25,571209
CSNK2A1,ENSG00000101266,135,571206
PDP1,ENSG00000164951,51,570901
RPS15,ENSG00000115268,32,570285
FASN,ENSG00000169710,78,568168
HUWE1,ENSG00000086758,125,567979
RPS3A,ENSG00000145425,45,567323
ENSG00000293331,ENSG00000293331,27,567116
NEFM,ENSG00000104722,15,565861
SEMA4D,ENSG00000187764,89,565468
TRIM8,ENSG00000171206,42,565464
ATP1A1,ENSG00000163399,55,564192
NACA,ENSG00000196531,88,564081
AHCYL1,ENSG00000168710,41,562660
MYL6,ENSG00000092841,56,561928
MYH10,ENSG00000133026,135,561776
GTF2IP1,ENSG00000277053,73,561069
DNAJB1,ENSG00000132002,48,560738
SLC25A22,ENSG00000177542,113,560546
ATN1,ENSG00000111676,33,558987
ITPR1,ENSG00000150995,165,558055
RALGDS,ENSG00000160271,66,557825
ADD2,ENSG00000075340,69,556233
PFKL,ENSG00000141959,102,555531
CELF2,ENSG00000048740,50,554531
TNS2-AS1,ENSG00000257337,111,553679
ENSG00000305635,ENSG00000305635,9,549965
IFITM1,ENSG00000185885,42,549577
PLEKHB2,ENSG00000115762,59,549400
TMSB10,ENSG00000034510,17,549122
PDZD4,ENSG00000067840,29,549040
RAD21,ENSG00000164754,69,548650
RIMS3,ENSG00000117016,21,548283
SHTN1,ENSG00000187164,34,546023
NPIPA1,ENSG00000183426,51,545417
ZMIZ2,ENSG00000122515,74,544275
TNPO2,ENSG00000105576,85,543942
MT-ATP8,ENSG00000228253,1,543873
